"Marca temporal","¿Usted considera las encuestas como un medio confiable de recolección de información?","¿Cuanto es el tiempo máximo que está dispuesto a invertir contestando una encuesta cuyo tema le interese?","¿Cuanto es el tiempo mínimo que está dispuesto a invertir contestando una encuesta cuyo tema NO sea de su interés?","¿Con qué frecuencia ha mentido en una encuesta porque se siente avergonzado de la respuesta real? 🫣","¿Con qué frecuencia ha mentido en una encuesta porque desconoce la respuesta real? (Marque cero si siempre conoce la respuesta real y no miente)👽","¿Con qué frecuencia ha mentido en una encuesta porque considera la respuesta real como información privada? 🕵️","¿Con qué frecuencia ha mentido en una encuesta porque desea perjudicar el estudio? 😈","¿Con qué frecuencia ha mentido en una encuesta porque el encuestador no inspira confianza? 🫥","¿Considera mentir en esta encuesta porque el encuestador no le inspira confianza?","¿Con qué frecuencia ha mentido en una encuesta porque desea concluir lo más pronto posible? 🏃","¿Desea concluir esta encuesta lo más pronto posible?","¿Han pasado al menos 5 minutos de contestar esta encuesta? (Es la duración que me requirió mi profesor)","¿Usted mintió en alguna de las respuestas de esta encuesta?","Muchas gracias por su respuestas, comparta con 5 amigos para ganar puntos en mi tarea.","Hoy por mi mañana por ti, "
"2024/10/22 7:23:37 a.m. GMT-6","Si","Entre 1 minuto y 5 minutos","1 minuto o menos","1","1","1","2","2","Si","3","Si","Si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/22 7:33:34 a.m. GMT-6","Si","1 minuto o menos","1 minuto o menos","0","0","0","0","0","No","0","Si","No","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/22 7:47:54 a.m. GMT-6","Si","1 minuto o menos","1 minuto o menos","1","1","2","0","3","No","2","Si","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/22 8:56:13 a.m. GMT-6","Si","","1 minuto o menos","2","3","3","2","2","Si","3","Si","Si","No","Si, voy a compartir",":)"
"2024/10/22 1:13:10 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","1 minuto o menos","0","1","2","1","1","No","1","Si","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/22 2:07:36 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","1 minuto o menos","2","2","3","0","0","No","1","Si","Si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/22 3:37:22 p.m. GMT-6","Si","Entre 1 minuto y 5 minutos","1 minuto o menos","2","1","1","0","0","No","1","Si","Si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/22 5:07:05 p.m. GMT-6","No","Entre 1 minuto y 5 minutos","Entre 1 minuto y 5 minutos","3","2","1","1","","No","1","Si","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/23 10:47:23 a.m. GMT-6","Si","Entre 1 minuto y 5 minutos","1 minuto o menos","1","3","1","0","2","No","0","No","Si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/23 11:34:07 a.m. GMT-6","No","1 minuto o menos","1 minuto o menos","1","1","1","1","1","Si","1","Si","Mmmm, si","Si","No gracias (conviene más si, hay sorpresa)",""
"2024/10/24 9:25:02 a.m. GMT-6","Si","Entre 5 minutos y 10 minutos","Entre 1 minuto y 5 minutos","2","2","2","0","2","No","1","No","Mmmm, si","No","No gracias (conviene más si, hay sorpresa)",""
"2024/10/24 9:25:33 a.m. GMT-6","Si","Entre 10 minutos y 30 minutos","Entre 1 minuto y 5 minutos","2","3","2","0","0","No","1","No","Cuando mucho fueron 3","No","Si, voy a compartir",":)"
"2024/10/25 3:06:17 a.m. GMT-6","No","Todo el tiempo necesario","Entre 1 minuto y 5 minutos","1","2","0","0","0","No","0","Si","Mmmm, si","No","Si, voy a compartir",":)"
